Number,Player Nickname
1,A10N3 B0Y
2,A1pha
3,ABM
4,ADDICT
5,ADK
6,ADRON
7,AE
8,AEROj
9,AGB
10,AGL
11,AJ
12,AJ2k
13,ALENNNCAR
14,ALLE
15,AMC
16,AMSALEM
17,ANASTAZE
18,ANISIA
19,ANSG1
20,ANTIVIRUS
21,ANa
22,ANeraX
23,ARIANARCHIST
24,ARSPOWER
25,ARTeMis
26,ASTR
27,ASTRA
28,ATAQUESTION
29,AVA174
30,AW
31,AZIDOT
32,AZR
33,AZUWU
34,Aapestt
35,Aaron
36,Abyss
37,AccuracyTG
38,Aceari
39,AcilioN
40,AdamJC
41,Adams0n
42,AdrieN
43,Adrii53
44,Aerial
45,Ag1l
46,Ag3NtK
47,Aida
48,Aidy
49,Ail
50,Airax
51,AiyvaN
52,Aldikon
53,AlekS
54,Aleksib
55,AliBond
56,Aliot
57,Alisson
58,Altekz
59,Alv
60,Alxc
61,Amastrine
62,Amdal
63,Anasasis
64,Ancient
65,Andrea
66,Andree
67,Andrew
68,Ang3l10wOw
69,Angelka
70,Anlelele
71,Ann4
72,Annihilation
73,Antuanette
74,AntyVirus
75,ApeX
76,AquaRS
77,Ar1s
78,Arcay
79,Archer
80,ArcherAce
81,Arkynha
82,ArroW
83,ArtFr0st
84,Askan
85,AtomiK
86,Attacker
87,AuhnaNaki
88,Aunkere
89,Aureo
90,Aurora
91,AuroraVeee
92,Austin
93,Aut0mat1on
94,AverOna
95,Avou
96,AwaykeN
97,Ax1Le
98,AxEcHo
99,Axed
100,Axelen
101,Axessor
102,AyeZs
103,Ayli
104,Ayteel
105,Azysw
106,B-rand0m
107,B1NGO
108,BAGEL
109,BALEROSTYLE
110,BELCHONOKK
111,BENJYMIN
112,BERRY
113,BK1
114,BORO
115,BOROS
116,BRACE
117,BRK
118,BRNZ1K
119,BROJVHS
120,BTN
121,BZA
122,BaGyZ
123,BaN4na
124,Babs
125,BabyRage
126,Bakorino
127,Bambosh
128,Ban4ik007
129,Banjo
130,Bankey21
131,Bart4k
132,BeaKie
133,BeanieHut
134,Beast
135,Beastman
136,Beccie
137,Begyzine
138,BehinDx
139,BeiranZz
140,Benzene
141,Berzius
142,BestronG
143,Bhavi
144,BiBiAhn
145,BiNoX
146,BiS
147,Bibu
148,BigIron
149,Bigun007
150,Bin
151,Biuckmt
152,Bizarre666
153,BlacKi
154,Blacc
155,BledarD
156,Blessed
157,Blick
158,Blitz1230
159,Blogg1s
160,Bloody
161,BloodyK
162,BluePho3nix
163,Blytz
164,BnTeT
165,Bones
166,BoomJIU
167,Boombl4
168,BoonRywin
169,Borsty
170,Botman
171,Botpa1
172,Bouchard
173,Boye
174,Br4tkO
175,Brain
176,Brashi
177,Brave
178,Braz
179,Brehze
180,Brendinha
181,Brens
182,Brh2203
183,Brilliance
184,Brillo
185,Brollan
186,Brooxsy
187,Bruninho
188,Brylu
189,BuNTz
190,Bukhavez
191,BulleT
192,Bungee
193,BunnyAzul
194,Burmylov
195,Buster
196,Buzz
197,Bwills
198,Byfield
199,Bymas
200,Bååten
201,BøghmagiC
202,C0FFE3
203,C2
204,C4LLM3SU3
205,C4rlito
206,CAJUN
207,CC3ptic
208,CHANKY
209,CHEHOL
210,CLASIA
211,COCOWINS
212,COOOOOOFFEE
213,CRUC1AL
214,CRYTICAL
215,CSO
216,CX
217,CYPHER
218,CaPiM
219,Cabbi
220,CacaNito
221,Cacao
222,CagXD
223,Caleyy
224,Calix
225,Calyx
226,Cara de Banana
227,Carnage
228,Carta
229,Cate
230,CatyJones
231,CeRq
232,Celia
233,Cellax
234,CendiarY
235,Ceruttera
236,Ch1oe
237,ChAmP
238,Cham
239,Champ
240,Cher1on
241,ChildKing
242,Chill
243,Chinits
244,ChipaaN
245,Chowdzz
246,Chr1zN
247,Chrysus
248,Chucky
249,Ciocardau
250,Cizzx
251,Cjoffo
252,Ckanic
253,Cl34v3rs
254,Cliqq
255,Cloudy
256,CoJoMo
257,Coffee
258,Consp1racy
259,CoolComs
260,Cooper
261,CooperTrooper
262,Cozen
263,Cr1a
264,Cr4zyCake
265,Crackbaby
266,Crazy_Gamer
267,CrePoW
268,Crisp
269,Crunchy
270,Cryptic
271,Cuba
272,CutzMeretz
273,CxX
274,Cxzi
275,CycloneF
276,Cyrix
277,Czerbiii
278,CziTeX
279,D0cC
280,D1sastrouS
281,D7
282,DALIEN
283,DANVIET
284,DANZ
285,DAVEN
286,DD
287,DDias
288,DEFAULTER
289,DEPRESHN
290,DGL
291,DJF
292,DOPWEEK
293,DSSj
294,DYLAN
295,DYNAMITE
296,Dabbehhh
297,DacS
298,DaciaBlue3
299,Dafra1D
300,Daker
301,Damkilde
302,Dan7
303,Danejoris
304,DangerCat
305,Dani
306,DanielS
